epoch,epoch_total,train_loss,val_loss,is_best,time_seconds
1,140,0.505764,0.451793,True,211.554
2,140,0.417621,0.372780,True,204.667
3,140,0.338932,0.301445,True,202.504
4,140,0.280714,0.262191,True,206.976
5,140,0.243275,0.223349,True,196.688
6,140,0.215214,0.199696,True,197.681
7,140,0.195422,0.183932,True,212.675
8,140,0.182687,0.173521,True,197.267
9,140,0.171746,0.160014,True,198.199
10,140,0.160900,0.160454,False,202.960
11,140,0.152239,0.143925,True,195.384
12,140,0.145702,0.163831,False,196.613
13,140,0.138500,0.130467,True,204.365
14,140,0.135940,0.136997,False,195.258
15,140,0.130038,0.130345,True,197.943
16,140,0.123928,0.116695,True,203.143
17,140,0.123383,0.121289,False,192.246
18,140,0.117266,0.109716,True,199.063
19,140,0.113747,0.110078,False,195.504
20,140,0.109711,0.109329,True,203.530
21,140,0.107271,0.125475,False,195.126
22,140,0.112320,0.123736,False,200.848
23,140,0.105878,0.103310,True,195.198
24,140,0.101029,0.090525,True,198.067
25,140,0.098471,0.094141,False,198.429
26,140,0.098360,0.100027,False,199.117
27,140,0.092784,0.085133,True,195.085
28,140,0.091314,0.086290,False,199.954
29,140,0.093757,0.086504,False,205.604
30,140,0.093255,0.080548,True,197.323
31,140,0.089360,0.089607,False,200.468
32,140,0.085935,0.076357,True,205.709
33,140,0.084732,0.276847,False,201.444
34,140,0.091594,0.076981,False,197.847
35,140,0.085383,0.075757,True,207.939
36,140,0.079008,0.107245,False,193.057
37,140,0.083105,0.070307,True,196.521
38,140,0.082780,0.074016,False,198.567
39,140,0.077129,0.071903,False,203.117
40,140,0.077154,0.068002,True,197.413
41,140,0.071966,0.083870,False,199.167
42,140,0.075790,0.063612,True,195.383
43,140,0.078155,0.067112,False,202.095
44,140,0.079075,0.063404,True,202.695
45,140,0.069587,0.068943,False,194.251
46,140,0.075023,0.059562,True,204.872
47,140,0.071584,0.062527,False,200.204
48,140,0.065258,0.059244,True,215.047
49,140,0.081893,0.059619,False,225.426
50,140,0.061196,0.065516,False,201.027
51,140,0.069594,0.055154,True,201.449
52,140,0.068359,0.061931,False,193.016
53,140,0.064413,0.056108,False,201.156
54,140,0.073352,0.067222,False,198.411
55,140,0.069040,0.062674,False,199.378
56,140,0.071950,0.103746,False,194.577
