epoch,aux_field_loss,aux_opp_boosts_loss,aux_opp_hp_loss,aux_opp_species_loss,aux_opp_stats_loss,aux_opp_statuses_loss,aux_opp_types_loss,aux_own_boosts_loss,aux_own_hp_loss,aux_own_species_loss,aux_own_stats_loss,aux_own_statuses_loss,aux_own_types_loss,loss,meta_plan_loss,policy_accuracy,policy_loss,val_aux_field_loss,val_aux_opp_boosts_loss,val_aux_opp_hp_loss,val_aux_opp_species_loss,val_aux_opp_stats_loss,val_aux_opp_statuses_loss,val_aux_opp_types_loss,val_aux_own_boosts_loss,val_aux_own_hp_loss,val_aux_own_species_loss,val_aux_own_stats_loss,val_aux_own_statuses_loss,val_aux_own_types_loss,val_loss,val_meta_plan_loss,val_policy_accuracy,val_policy_loss,val_value_loss,val_value_mae,value_loss,value_mae
0,0.48707112669944763,0.28919702768325806,0.1425500065088272,5.697009563446045,0.06821071356534958,0.4836913049221039,0.597345769405365,0.2953873872756958,0.15277418494224548,5.674903869628906,0.06739093363285065,0.5428825616836548,0.5638571381568909,15.218522071838379,0.036843691021203995,0.39585253596305847,1.6712872982025146,0.37428757548332214,0.07863660156726837,0.11583445221185684,5.557636260986328,0.028428982943296432,0.40189245343208313,0.48521241545677185,0.08037427067756653,0.12121410667896271,5.5405449867248535,0.030844731256365776,0.4153693616390228,0.4444534480571747,14.362643241882324,0.02509397640824318,0.47613757848739624,1.5871793031692505,0.19695980846881866,0.4131939113140106,0.2283710241317749,0.4249604046344757
1,0.2172010987997055,0.18944288790225983,0.12388955801725388,5.281860828399658,0.020356716588139534,0.2635818123817444,0.36307576298713684,0.18888194859027863,0.1281137317419052,5.265605926513672,0.039338719099760056,0.2801744341850281,0.349664568901062,14.00158405303955,0.021916251629590988,0.43789365887641907,1.595537781715393,0.1817781627178192,0.07281016558408737,0.10687265545129776,5.281067371368408,0.012994320131838322,0.238392174243927,0.3321256935596466,0.07149644941091537,0.11271025240421295,5.263843059539795,0.028228847309947014,0.24530915915966034,0.32118651270866394,13.784741401672363,0.01953177899122238,0.4773934781551361,1.5722436904907227,0.18227583169937134,0.3667491376399994,0.1764824539422989,0.3601078689098358
2,0.11992453038692474,0.1286771446466446,0.11362966895103455,5.100248336791992,0.012957598082721233,0.19558849930763245,0.2934257686138153,0.127890944480896,0.11759363114833832,5.086602687835693,0.034646060317754745,0.20056380331516266,0.28894156217575073,13.570117950439453,0.01875315047800541,0.4500298798084259,1.5752928256988525,0.1069585457444191,0.04525858908891678,0.09890701621770859,5.1682610511779785,0.00958551187068224,0.18738071620464325,0.28445494174957275,0.04392876848578453,0.10410596430301666,5.151130676269531,0.02578318491578102,0.19190047681331635,0.2794290781021118,13.55368423461914,0.018661515787243843,0.48258623480796814,1.5665760040283203,0.17740651965141296,0.3500479459762573,0.15509827435016632,0.3254595696926117
3,0.07941854745149612,0.08899518102407455,0.10450814664363861,4.992663860321045,0.011370863765478134,0.17259404063224792,0.2713511288166046,0.08770869672298431,0.10952706634998322,4.972245693206787,0.03216715157032013,0.17359863221645355,0.2693261206150055,13.325193405151367,0.01819678023457527,0.4553386867046356,1.5639322996139526,0.07371779531240463,0.02902865596115589,0.0923318937420845,5.099782466888428,0.008766734972596169,0.16952118277549744,0.2675229609012604,0.028418248519301414,0.09698397666215897,5.0733232498168945,0.024245567619800568,0.17184942960739136,0.26427656412124634,13.427179336547852,0.018526151776313782,0.4885759949684143,1.5636051893234253,0.1770743429660797,0.33879926800727844,0.13503889739513397,0.291124552488327
4,0.05915553495287895,0.061126720160245895,0.09781452268362045,4.891656398773193,0.011065999045968056,0.1630624681711197,0.2626734673976898,0.060577113181352615,0.10216669738292694,4.854543209075928,0.03034302033483982,0.16239655017852783,0.2614111304283142,13.13029956817627,0.01800592616200447,0.4598384201526642,1.556795597076416,0.05714387819170952,0.0197762418538332,0.0869518369436264,5.035143852233887,0.008530277758836746,0.16151802241802216,0.26002147793769836,0.019423501566052437,0.09124918282032013,4.990321159362793,0.022868311032652855,0.1629674881696701,0.25732848048210144,13.328694343566895,0.018457647413015366,0.4902907907962799,1.562296748161316,0.17978253960609436,0.3324182629585266,0.11731936782598495,0.25879520177841187
5,0.04747455567121506,0.04114743694663048,0.09326155483722687,4.781838893890381,0.011100837960839272,0.1577078104019165,0.2579139173030853,0.04073787480592728,0.09693402796983719,4.715554714202881,0.028626596555113792,0.15688180923461914,0.25588348507881165,12.943989753723145,0.017883196473121643,0.46282580494880676,1.5517430305480957,0.04698844626545906,0.014149583876132965,0.08364478498697281,4.962449073791504,0.0084295142441988,0.1564023494720459,0.2544393837451935,0.013621849939227104,0.08693361282348633,4.889046669006348,0.021575534716248512,0.15764278173446655,0.25109919905662537,13.230779647827148,0.018451903015375137,0.4894213080406189,1.5617715120315552,0.18538439273834229,0.3296383321285248,0.10158032923936844,0.22943806648254395
6,0.03992850333452225,0.026610370725393295,0.09051268547773361,4.65837287902832,0.011136041022837162,0.1542358100414276,0.25308236479759216,0.026508059352636337,0.09306664764881134,4.552754878997803,0.027007831260561943,0.15315347909927368,0.24920567870140076,12.754820823669434,0.01778637245297432,0.46558913588523865,1.5478817224502563,0.039953723549842834,0.010674376972019672,0.08157560229301453,4.876108646392822,0.008394100703299046,0.15220284461975098,0.2483358532190323,0.010067809373140335,0.08398358523845673,4.75713586807251,0.020677654072642326,0.15352365374565125,0.243149533867836,13.119091987609863,0.018362006172537804,0.4922712743282318,1.5619299411773682,0.1928917020559311,0.32885733246803284,0.09025060385465622,0.20699413120746613
7,0.0345090813934803,0.01700962893664837,0.08883470296859741,4.518914222717285,0.011241490021348,0.15131767094135284,0.2468550056219101,0.0169739481061697,0.0906008630990982,4.360287189483643,0.025654196739196777,0.15066340565681458,0.2403348833322525,12.558655738830566,0.01771443523466587,0.4661741554737091,1.545780897140503,0.034396469593048096,0.008607846684753895,0.08050094544887543,4.770101547241211,0.008390618488192558,0.14876574277877808,0.24107246100902557,0.007862069644033909,0.08166729658842087,4.590322017669678,0.019954387098550797,0.15096315741539001,0.23310306668281555,12.9863920211792,0.018357418477535248,0.4920780658721924,1.563040852546692,0.20011582970619202,0.3324125111103058,0.08246920257806778,0.1907239407300949
8,0.03047565557062626,0.01129547692835331,0.08789441734552383,4.363595008850098,0.011223544366657734,0.14904364943504333,0.2392871081829071,0.011138190515339375,0.08892881125211716,4.141369819641113,0.024165287613868713,0.14835995435714722,0.2297152876853943,12.341854095458984,0.017663463950157166,0.4685267210006714,1.54273521900177,0.03029015101492405,0.007373544853180647,0.07959877699613571,4.643742561340332,0.008253589272499084,0.14596685767173767,0.23235264420509338,0.006654988508671522,0.08012206852436066,4.398869037628174,0.019229823723435402,0.14812374114990234,0.22187507152557373,12.82675552368164,0.018339328467845917,0.49326151609420776,1.5635933876037598,0.20502083003520966,0.33453118801116943,0.07776899635791779,0.18097351491451263
9,0.027398906648159027,0.008427980355918407,0.08715146780014038,4.196414470672607,0.011094063520431519,0.14711399376392365,0.23004497587680817,0.008173682726919651,0.08827950060367584,3.909271240234375,0.022698350250720978,0.14624769985675812,0.2178785651922226,12.117817878723145,0.017611727118492126,0.47023823857307434,1.5403203964233398,0.027010468766093254,0.006794122979044914,0.07929528504610062,4.495360851287842,0.008041429333388805,0.1433878391981125,0.22256463766098022,0.006082150619477034,0.07987876981496811,4.189950942993164,0.01850091479718685,0.14562475681304932,0.2092456817626953,12.649304389953613,0.01831631362438202,0.4937204122543335,1.5640318393707275,0.21139279007911682,0.3397566080093384,0.07370380312204361,0.17306938767433167
